
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
54:76:B2:CE:A3:E7, 2025-07-24 13:00:17, 2025-07-24 13:02:14,  1, 130, WPA2, CCMP TKIP, PSK, -92,      121,        8,   0.  0.  0.  0,  11, BodinFamily, 
08:40:F3:58:81:29, 2025-07-24 13:00:17, 2025-07-24 13:02:12,  1, 130, WPA2, CCMP, PSK, -93,       50,        0,   0.  0.  0.  0,   8, HckTools, 
1C:61:D2:76:72:08, 2025-07-24 13:00:17, 2025-07-24 13:00:17,  1, 130, WPA2, CCMP, PSK, -93,        1,        0,   0.  0.  0.  0,   8, MARZ'ELS, 
50:5B:1D:F4:BC:C0, 2025-07-24 13:00:17, 2025-07-24 13:02:14,  4, 130, WPA2, CCMP TKIP, PSK, -54,      388,     3715,   0.  0.  0.  0,   4, Ucok, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:DD:9C:FF:19:61, 2025-07-24 13:00:17, 2025-07-24 13:02:12, -94,       15, 54:76:B2:CE:A3:E7,
CE:BE:92:2F:27:38, 2025-07-24 13:00:17, 2025-07-24 13:02:13, -38,      266, 50:5B:1D:F4:BC:C0,
74:F2:FA:D8:DC:53, 2025-07-24 13:00:18, 2025-07-24 13:02:14, -38,     1979, 50:5B:1D:F4:BC:C0,
CA:84:D5:BE:68:DB, 2025-07-24 13:00:19, 2025-07-24 13:02:14, -74,     1738, 50:5B:1D:F4:BC:C0,
F6:A2:5F:FF:F9:64, 2025-07-24 13:00:20, 2025-07-24 13:02:13, -76,       19, 54:76:B2:CE:A3:E7,
C4:23:60:8B:20:EF, 2025-07-24 13:00:21, 2025-07-24 13:02:09, -27,       77, 50:5B:1D:F4:BC:C0,
8E:D2:FF:0F:2B:CA, 2025-07-24 13:00:22, 2025-07-24 13:01:38, -56,       16, 50:5B:1D:F4:BC:C0,
56:8A:15:C1:BB:84, 2025-07-24 13:00:25, 2025-07-24 13:02:12, -94,       48, 54:76:B2:CE:A3:E7,
FE:83:2C:30:DA:80, 2025-07-24 13:00:36, 2025-07-24 13:01:48, -94,       12, 50:5B:1D:F4:BC:C0,

