
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
54:76:B2:CE:A3:E7, 2025-07-24 13:18:23, 2025-07-24 13:20:07,  1, 130, WPA2, CCMP TKIP, PSK, -90,       14,        1,   0.  0.  0.  0,  11, BodinFamily, 
08:40:F3:58:81:29, 2025-07-24 13:18:23, 2025-07-24 13:20:21,  1, 130, WPA2, CCMP, PSK, -66,      242,       37,   0.  0.  0.  0,   8, HckTools, 
50:5B:1D:F4:BC:C0, 2025-07-24 13:18:23, 2025-07-24 13:20:21,  4, 130, WPA2, CCMP TKIP, PSK, -53,      456,      484,   0.  0.  0.  0,   4, Ucok, 
BC:07:1D:AE:53:20, 2025-07-24 13:18:37, 2025-07-24 13:19:46,  1, 130, WPA2, CCMP, PSK, -93,        2,        0,   0.  0.  0.  0,   0, , 
00:2E:C3:D0:00:01, 2025-07-24 13:19:12, 2025-07-24 13:19:12, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
14:DD:9C:FF:19:61, 2025-07-24 13:18:23, 2025-07-24 13:18:33, -94,       10, 54:76:B2:CE:A3:E7,
74:F2:FA:D8:DC:53, 2025-07-24 13:18:24, 2025-07-24 13:20:21, -14,      406, 08:40:F3:58:81:29,KANTOR TKJ,IOT,Ibnu,Operator,PoltekHarber
CA:84:D5:BE:68:DB, 2025-07-24 13:18:27, 2025-07-24 13:20:20, -84,      108, 50:5B:1D:F4:BC:C0,
C4:23:60:8B:20:EF, 2025-07-24 13:18:27, 2025-07-24 13:19:57, -30,      397, 50:5B:1D:F4:BC:C0,
CE:BE:92:2F:27:38, 2025-07-24 13:18:33, 2025-07-24 13:20:11, -32,      179, 50:5B:1D:F4:BC:C0,
8E:D2:FF:0F:2B:CA, 2025-07-24 13:18:33, 2025-07-24 13:20:18, -60,        7, 50:5B:1D:F4:BC:C0,
72:11:E8:EE:3B:9A, 2025-07-24 13:18:37, 2025-07-24 13:19:26, -94,        2, BC:07:1D:AE:53:20,
FE:83:2C:30:DA:80, 2025-07-24 13:18:39, 2025-07-24 13:19:44, -82,       12, 50:5B:1D:F4:BC:C0,
BC:07:1D:AE:53:21, 2025-07-24 13:19:12, 2025-07-24 13:19:12, -94,        2, 00:2E:C3:D0:00:01,
F6:A2:5F:FF:F9:64, 2025-07-24 13:20:00, 2025-07-24 13:20:07, -94,       13, 54:76:B2:CE:A3:E7,1 kilo4000,1kilo4000,1kilo5000,bodinfamily,kembar 123

